account_id,customer_id,account_type,balance,has_credit_card,opened_date
5001,1001,savings,2343,no,2020-01-01
5002,1002,fixed_deposit,45,no,2020-01-01
5003,1003,current,1270,yes,2020-01-01
5004,1004,current,2476,no,2020-01-01
5005,1005,savings,184,yes,2020-01-01
5006,1006,savings,0,yes,2020-01-01
5007,1007,savings,830,no,2020-01-01
5008,1008,fixed_deposit,545,yes,2020-01-01
5009,1009,current,1,no,2020-01-01
5010,1010,current,5090,no,2020-01-01
5011,1011,savings,100,no,2020-01-01
5012,1012,fixed_deposit,309,no,2020-01-01
5013,1013,current,199,no,2020-01-02
5014,1014,savings,460,no,2020-01-02
5015,1015,savings,703,no,2020-01-02
5016,1016,savings,3837,no,2020-01-02
5017,1017,savings,611,no,2020-01-02
5018,1018,current,-8,yes,2020-01-02
5019,1019,savings,55,no,2020-01-02
5020,1020,savings,168,no,2020-01-02
5021,1021,current,785,no,2020-01-02
5022,1022,savings,2067,no,2020-01-02
5023,1023,savings,388,no,2020-01-02
5024,1024,savings,-192,no,2020-01-02
5025,1025,savings,381,yes,2020-01-03
5026,1026,current,40,no,2020-01-03
5027,1027,savings,22,yes,2020-01-03
5028,1028,current,3,no,2020-01-03
5029,1029,current,307,no,2020-01-03
5030,1030,savings,759,yes,2020-01-03
5031,1031,current,-1,yes,2020-01-03
5032,1032,savings,65,no,2020-01-03
5033,1033,savings,82,yes,2020-01-03
5034,1034,fixed_deposit,10,yes,2020-01-03
5035,1035,fixed_deposit,390,no,2020-01-03
5036,1036,current,311,yes,2020-01-03
5037,1037,savings,414,no,2020-01-04
5038,1038,savings,5,no,2020-01-04
5039,1039,current,119,yes,2020-01-04
5040,1040,savings,4,yes,2020-01-04
5041,1041,savings,1262,no,2020-01-04
5042,1042,savings,1949,no,2020-01-04
5043,1043,savings,-395,no,2020-01-04
5044,1044,fixed_deposit,1165,no,2020-01-04
5045,1045,savings,2240,no,2020-01-04
5046,1046,current,300,yes,2020-01-04
5047,1047,savings,3285,yes,2020-01-04
5048,1048,current,3923,yes,2020-01-04
5049,1049,current,1443,yes,2020-01-05
5050,1050,savings,24,no,2020-01-05
5051,1051,fixed_deposit,1618,no,2020-01-05
5052,1052,current,517,yes,2020-01-05
5053,1053,fixed_deposit,1521,no,2020-01-05
5054,1054,fixed_deposit,2823,yes,2020-01-05
5055,1055,current,1405,no,2020-01-05
5056,1056,fixed_deposit,1535,no,2020-01-05
5057,1057,savings,1596,no,2020-01-05
5058,1058,savings,1542,no,2020-01-05
5059,1059,savings,3652,yes,2020-01-05
5060,1060,savings,-1,no,2020-01-05
5061,1061,savings,7180,no,2020-01-06
5062,1062,savings,5291,no,2020-01-06
5063,1063,current,1384,no,2020-01-06
5064,1064,savings,-191,no,2020-01-06
5065,1065,savings,320,no,2020-01-06
5066,1066,current,146,no,2020-01-06
5067,1067,savings,341,yes,2020-01-06
5068,1068,current,-9,no,2020-01-06
5069,1069,savings,-306,no,2020-01-06
5070,1070,fixed_deposit,4580,no,2020-01-06
5071,1071,current,313,yes,2020-01-06
5072,1072,savings,10576,no,2020-01-06
5073,1073,savings,-233,yes,2020-01-07
5074,1074,current,2453,no,2020-01-07
5075,1075,current,1364,no,2020-01-07
5076,1076,current,281,no,2020-01-07
5077,1077,current,94,no,2020-01-07
5078,1078,savings,144,yes,2020-01-07
5079,1079,savings,246,yes,2020-01-07
5080,1080,savings,92,no,2020-01-07
5081,1081,fixed_deposit,163,yes,2020-01-07
5082,1082,current,49,no,2020-01-07
5083,1083,savings,-416,yes,2020-01-07
5084,1084,savings,409,no,2020-01-07
5085,1085,savings,363,no,2020-01-08
5086,1086,savings,3706,yes,2020-01-08
5087,1087,current,4393,yes,2020-01-08
5088,1088,current,863,no,2020-01-08
5089,1089,fixed_deposit,695,no,2020-01-08
5090,1090,savings,792,no,2020-01-08
5091,1091,savings,1020,no,2020-01-08
5092,1092,current,863,no,2020-01-08
5093,1093,current,97,yes,2020-01-08
5094,1094,current,754,no,2020-01-08
5095,1095,current,1040,yes,2020-01-08
5096,1096,savings,122,yes,2020-01-08
5097,1097,current,880,no,2020-01-09
5098,1098,savings,501,yes,2020-01-09
5099,1099,savings,4438,yes,2020-01-09
5100,1100,savings,0,yes,2020-01-09
5101,1101,savings,271,no,2020-01-09
5102,1102,current,102,no,2020-01-09
5103,1103,savings,2,no,2020-01-09
5104,1104,current,4170,no,2020-01-09
5105,1105,fixed_deposit,85,no,2020-01-09
5106,1106,savings,431,yes,2020-01-09
5107,1107,savings,982,no,2020-01-09
5108,1108,current,408,yes,2020-01-09
5109,1109,savings,4822,yes,2020-01-10
5110,1110,savings,1250,yes,2020-01-10
5111,1111,savings,216,no,2020-01-10
5112,1112,savings,1207,yes,2020-01-10
5113,1113,fixed_deposit,791,yes,2020-01-10
5114,1114,current,849,yes,2020-01-10
5115,1115,current,239,yes,2020-01-10
5116,1116,fixed_deposit,1211,no,2020-01-10
5117,1117,current,599,no,2020-01-10
5118,1118,savings,825,no,2020-01-10
5119,1119,fixed_deposit,2183,yes,2020-01-10
5120,1120,current,4499,yes,2020-01-10
5121,1121,current,1289,no,2020-01-11
5122,1122,fixed_deposit,4665,yes,2020-01-11
5123,1123,savings,3326,no,2020-01-11
5124,1124,savings,783,yes,2020-01-11
5125,1125,savings,0,no,2020-01-11
5126,1126,savings,994,yes,2020-01-11
5127,1127,current,1354,no,2020-01-11
5128,1128,fixed_deposit,239,no,2020-01-11
5129,1129,savings,-311,no,2020-01-11
5130,1130,current,149,yes,2020-01-11
5131,1131,savings,1464,no,2020-01-11
5132,1132,savings,5773,no,2020-01-11
5133,1133,savings,278,yes,2020-01-12
5134,1134,savings,2910,yes,2020-01-12
5135,1135,fixed_deposit,541,no,2020-01-12
5136,1136,savings,1262,yes,2020-01-12
5137,1137,current,-538,no,2020-01-12
5138,1138,current,125,yes,2020-01-12
5139,1139,savings,0,no,2020-01-12
5140,1140,fixed_deposit,620,yes,2020-01-12
5141,1141,fixed_deposit,316,no,2020-01-12
5142,1142,savings,2287,yes,2020-01-12
5143,1143,savings,198,yes,2020-01-12
5144,1144,savings,460,yes,2020-01-12
5145,1145,savings,1145,no,2020-01-13
5146,1146,savings,-22,yes,2020-01-13
5147,1147,current,685,no,2020-01-13
5148,1148,current,901,yes,2020-01-13
5149,1149,savings,351,yes,2020-01-13
5150,1150,savings,0,no,2020-01-13
5151,1151,fixed_deposit,274,no,2020-01-13
5152,1152,savings,-213,no,2020-01-13
5153,1153,savings,97,no,2020-01-13
5154,1154,savings,51,no,2020-01-13
5155,1155,fixed_deposit,314,no,2020-01-13
5156,1156,savings,6840,no,2020-01-13
5157,1157,current,668,yes,2020-01-14
5158,1158,current,54,no,2020-01-14
5159,1159,savings,1242,no,2020-01-14
5160,1160,current,292,no,2020-01-14
5161,1161,savings,665,yes,2020-01-14
5162,1162,current,1058,yes,2020-01-14
5163,1163,current,949,no,2020-01-14
5164,1164,current,606,yes,2020-01-14
5165,1165,savings,0,no,2020-01-14
5166,1166,current,404,yes,2020-01-14
5167,1167,savings,249,no,2020-01-14
5168,1168,savings,3354,yes,2020-01-14
5169,1169,savings,0,no,2020-01-15
5170,1170,current,589,yes,2020-01-15
5171,1171,current,12956,no,2020-01-15
5172,1172,savings,873,no,2020-01-15
5173,1173,current,594,yes,2020-01-15
5174,1174,savings,-20,no,2020-01-15
5175,1175,current,4692,yes,2020-01-15
5176,1176,savings,486,yes,2020-01-15
5177,1177,current,1593,no,2020-01-15
5178,1178,savings,7606,no,2020-01-15
5179,1179,fixed_deposit,226,yes,2020-01-15
5180,1180,savings,366,yes,2020-01-15
5181,1181,savings,16,yes,2020-01-16
5182,1182,savings,565,no,2020-01-16
5183,1183,fixed_deposit,19,yes,2020-01-16
5184,1184,fixed_deposit,1082,no,2020-01-16
5185,1185,savings,1713,no,2020-01-16
5186,1186,current,14481,yes,2020-01-16
5187,1187,current,5724,yes,2020-01-16
5188,1188,current,1451,no,2020-01-16
5189,1189,current,-34,yes,2020-01-16
5190,1190,savings,3674,yes,2020-01-16
5191,1191,savings,698,yes,2020-01-16
5192,1192,fixed_deposit,4136,no,2020-01-16
5193,1193,fixed_deposit,2656,no,2020-01-17
5194,1194,current,2904,yes,2020-01-17
5195,1195,savings,1004,yes,2020-01-17
5196,1196,savings,410,no,2020-01-17
5197,1197,current,0,no,2020-01-17
5198,1198,fixed_deposit,0,no,2020-01-17
5199,1199,fixed_deposit,62,no,2020-01-17
5200,1200,current,416,no,2020-01-17
5201,1201,current,2763,no,2020-01-17
5202,1202,savings,2984,yes,2020-01-17
5203,1203,savings,143,yes,2020-01-17
5204,1204,fixed_deposit,0,no,2020-01-17
5205,1205,current,696,no,2020-01-18
5206,1206,savings,152,no,2020-01-18
5207,1207,savings,-78,yes,2020-01-18
5208,1208,current,867,no,2020-01-18
5209,1209,savings,953,no,2020-01-18
5210,1210,savings,443,yes,2020-01-18
5211,1211,current,-1129,no,2020-01-18
5212,1212,current,415,no,2020-01-18
5213,1213,current,260,no,2020-01-18
5214,1214,savings,-411,no,2020-01-18
5215,1215,current,1279,no,2020-01-18
5216,1216,savings,86,no,2020-01-18
5217,1217,savings,-754,yes,2020-01-19
5218,1218,current,0,yes,2020-01-19
5219,1219,current,178,no,2020-01-19
5220,1220,current,278,no,2020-01-19
5221,1221,current,425,no,2020-01-19
5222,1222,current,168,no,2020-01-19
5223,1223,savings,-36,yes,2020-01-19
5224,1224,savings,126,no,2020-01-19
5225,1225,savings,-87,yes,2020-01-19
5226,1226,savings,6281,no,2020-01-19
5227,1227,fixed_deposit,644,no,2020-01-19
5228,1228,savings,377,no,2020-01-19
5229,1229,fixed_deposit,-271,yes,2020-01-20
5230,1230,current,5839,yes,2020-01-20
5231,1231,current,492,no,2020-01-20
5232,1232,current,99,no,2020-01-20
5233,1233,current,-713,no,2020-01-20
5234,1234,savings,32,yes,2020-01-20
5235,1235,savings,543,no,2020-01-20
5236,1236,current,403,no,2020-01-20
5237,1237,savings,437,yes,2020-01-20
5238,1238,savings,1772,no,2020-01-20
5239,1239,current,-88,yes,2020-01-20
5240,1240,savings,0,no,2020-01-20
5241,1241,fixed_deposit,853,no,2020-01-21
5242,1242,fixed_deposit,240,no,2020-01-21
5243,1243,fixed_deposit,849,no,2020-01-21
