campaign_id,customer_id,contact_method,contact_day,contact_month,call_duration_sec,num_contacts,subscribed_deposit
2001,1001,unknown,5,may,1042,1,yes
2002,1002,unknown,5,may,1467,1,yes
2003,1003,unknown,5,may,1389,1,yes
2004,1004,unknown,5,may,579,1,yes
2005,1005,unknown,5,may,673,2,yes
2006,1006,unknown,5,may,562,2,yes
2007,1007,unknown,6,may,1201,1,yes
2008,1008,unknown,6,may,1030,1,yes
2009,1009,unknown,6,may,608,1,yes
2010,1010,unknown,6,may,1297,3,yes
2011,1011,unknown,7,may,786,1,yes
2012,1012,unknown,7,may,1574,2,yes
2013,1013,unknown,7,may,1689,4,yes
2014,1014,unknown,7,may,1102,2,yes
2015,1015,unknown,8,may,943,2,yes
2016,1016,unknown,8,may,1084,1,yes
2017,1017,unknown,8,may,541,3,yes
2018,1018,unknown,8,may,1119,1,yes
2019,1019,unknown,8,may,1120,2,yes
2020,1020,unknown,8,may,513,1,yes
2021,1021,unknown,8,may,442,2,yes
2022,1022,unknown,8,may,756,1,yes
2023,1023,unknown,8,may,2087,2,yes
2024,1024,unknown,8,may,1120,2,yes
2025,1025,unknown,8,may,985,2,yes
2026,1026,unknown,9,may,617,4,yes
2027,1027,unknown,9,may,483,3,yes
2028,1028,unknown,9,may,929,3,yes
2029,1029,unknown,9,may,538,1,yes
2030,1030,unknown,9,may,710,1,yes
2031,1031,unknown,9,may,653,1,yes
2032,1032,unknown,9,may,1028,2,yes
2033,1033,unknown,9,may,654,1,yes
2034,1034,unknown,9,may,1692,2,yes
2035,1035,unknown,9,may,665,2,yes
2036,1036,unknown,12,may,757,2,yes
2037,1037,unknown,13,may,504,4,yes
2038,1038,unknown,13,may,1346,1,yes
2039,1039,unknown,13,may,568,4,yes
2040,1040,unknown,13,may,395,2,yes
2041,1041,unknown,13,may,1015,1,yes
2042,1042,unknown,13,may,683,2,yes
2043,1043,unknown,13,may,470,1,yes
2044,1044,unknown,13,may,1001,4,yes
2045,1045,unknown,13,may,845,1,yes
2046,1046,unknown,13,may,945,2,yes
2047,1047,unknown,13,may,1721,2,yes
2048,1048,unknown,14,may,942,3,yes
2049,1049,unknown,14,may,476,1,yes
2050,1050,unknown,14,may,832,1,yes
2051,1051,unknown,14,may,1553,1,yes
2052,1052,unknown,14,may,1328,1,yes
2053,1053,unknown,14,may,1125,2,yes
2054,1054,unknown,14,may,858,1,yes
2055,1055,unknown,14,may,629,2,yes
2056,1056,unknown,14,may,704,1,yes
2057,1057,unknown,14,may,760,1,yes
2058,1058,unknown,14,may,930,1,yes
2059,1059,unknown,14,may,1028,2,yes
2060,1060,unknown,14,may,850,2,yes
2061,1061,unknown,14,may,927,1,yes
2062,1062,unknown,14,may,1423,3,yes
2063,1063,unknown,15,may,1162,4,yes
2064,1064,unknown,15,may,755,1,yes
2065,1065,unknown,15,may,695,1,yes
2066,1066,unknown,15,may,483,1,yes
2067,1067,unknown,15,may,520,2,yes
2068,1068,unknown,15,may,920,2,yes
2069,1069,unknown,15,may,500,1,yes
2070,1070,unknown,15,may,911,2,yes
2071,1071,unknown,15,may,920,2,yes
2072,1072,unknown,15,may,1224,2,yes
2073,1073,unknown,15,may,1156,2,yes
2074,1074,unknown,15,may,1052,1,yes
2075,1075,unknown,15,may,1867,6,yes
2076,1076,unknown,16,may,515,1,yes
2077,1077,unknown,16,may,813,1,yes
2078,1078,unknown,16,may,676,1,yes
2079,1079,unknown,16,may,1143,3,yes
2080,1080,unknown,16,may,688,1,yes
2081,1081,unknown,16,may,803,1,yes
2082,1082,unknown,16,may,619,2,yes
2083,1083,unknown,16,may,767,2,yes
2084,1084,unknown,16,may,912,1,yes
2085,1085,unknown,16,may,1340,1,yes
2086,1086,unknown,16,may,897,1,yes
2087,1087,unknown,16,may,1297,3,yes
2088,1088,unknown,16,may,1193,5,yes
2089,1089,unknown,16,may,1064,4,yes
2090,1090,unknown,16,may,1187,4,yes
2091,1091,unknown,19,may,882,1,yes
2092,1092,unknown,19,may,943,2,yes
2093,1093,unknown,19,may,607,1,yes
2094,1094,unknown,19,may,1022,4,yes
2095,1095,unknown,19,may,552,3,yes
2096,1096,unknown,19,may,1622,2,yes
2097,1097,unknown,19,may,967,6,yes
2098,1098,unknown,19,may,579,5,yes
2099,1099,unknown,20,may,446,1,yes
2100,1100,unknown,20,may,1205,1,yes
2101,1101,unknown,20,may,1882,2,yes
2102,1102,unknown,20,may,1334,1,yes
2103,1103,unknown,20,may,182,2,yes
2104,1104,unknown,20,may,1777,1,yes
2105,1105,unknown,20,may,1182,4,yes
2106,1106,unknown,20,may,1045,1,yes
2107,1107,unknown,20,may,650,3,yes
2108,1108,unknown,20,may,1063,2,yes
2109,1109,unknown,20,may,843,2,yes
2110,1110,unknown,20,may,1392,2,yes
2111,1111,unknown,21,may,565,1,yes
2112,1112,unknown,21,may,905,1,yes
2113,1113,unknown,21,may,783,2,yes
2114,1114,unknown,21,may,958,2,yes
2115,1115,unknown,21,may,412,1,yes
2116,1116,unknown,21,may,795,1,yes
2117,1117,unknown,21,may,649,2,yes
2118,1118,unknown,21,may,506,2,yes
2119,1119,unknown,21,may,857,1,yes
2120,1120,unknown,21,may,1681,1,yes
2121,1121,unknown,21,may,1697,2,yes
2122,1122,unknown,21,may,860,2,yes
2123,1123,unknown,21,may,799,1,yes
2124,1124,unknown,21,may,923,3,yes
2125,1125,unknown,21,may,521,3,yes
2126,1126,unknown,23,may,1349,8,yes
2127,1127,unknown,23,may,736,2,yes
2128,1128,unknown,23,may,785,1,yes
2129,1129,unknown,23,may,1030,1,yes
2130,1130,unknown,23,may,893,3,yes
2131,1131,unknown,23,may,588,3,yes
2132,1132,unknown,23,may,597,6,yes
2133,1133,unknown,23,may,1015,3,yes
2134,1134,unknown,23,may,1392,2,yes
2135,1135,unknown,26,may,414,2,yes
2136,1136,unknown,26,may,788,11,yes
2137,1137,unknown,26,may,682,1,yes
2138,1138,unknown,26,may,679,2,yes
2139,1139,unknown,26,may,1560,2,yes
2140,1140,unknown,26,may,1234,3,yes
2141,1141,unknown,26,may,642,2,yes
2142,1142,unknown,26,may,895,4,yes
2143,1143,unknown,26,may,431,2,yes
2144,1144,unknown,26,may,741,6,yes
2145,1145,unknown,26,may,1272,4,yes
2146,1146,unknown,26,may,748,3,yes
2147,1147,unknown,26,may,896,3,yes
2148,1148,unknown,26,may,764,2,yes
2149,1149,unknown,27,may,1063,5,yes
2150,1150,unknown,27,may,1051,1,yes
2151,1151,unknown,27,may,731,3,yes
2152,1152,unknown,27,may,751,1,yes
2153,1153,unknown,27,may,709,1,yes
2154,1154,unknown,27,may,3094,2,yes
2155,1155,unknown,28,may,938,2,yes
2156,1156,unknown,28,may,1560,2,yes
2157,1157,unknown,28,may,576,3,yes
2158,1158,unknown,28,may,543,2,yes
2159,1159,unknown,28,may,615,2,yes
2160,1160,unknown,28,may,507,1,yes
2161,1161,unknown,28,may,1183,1,yes
2162,1162,unknown,28,may,864,2,yes
2163,1163,unknown,28,may,1730,1,yes
2164,1164,unknown,28,may,560,9,yes
2165,1165,unknown,29,may,543,1,yes
2166,1166,unknown,29,may,539,1,yes
2167,1167,unknown,29,may,791,2,yes
2168,1168,unknown,29,may,746,1,yes
2169,1169,unknown,29,may,1207,1,yes
2170,1170,unknown,29,may,535,2,yes
2171,1171,unknown,29,may,789,3,yes
2172,1172,unknown,29,may,792,3,yes
2173,1173,unknown,29,may,833,2,yes
2174,1174,unknown,29,may,814,2,yes
2175,1175,unknown,29,may,1363,2,yes
2176,1176,unknown,29,may,1109,3,yes
2177,1177,unknown,29,may,828,3,yes
2178,1178,unknown,30,may,917,1,yes
2179,1179,unknown,30,may,762,3,yes
