customer_id,age,job,marital_status,education
1001,59,admin,married,secondary
1002,56,admin,married,secondary
1003,41,technician,married,secondary
1004,55,services,married,secondary
1005,54,admin,married,tertiary
1006,42,management,single,tertiary
1007,56,management,married,tertiary
1008,60,retired,divorced,secondary
1009,37,technician,married,secondary
1010,28,services,single,secondary
1011,38,admin,single,secondary
1012,30,blue-collar,married,secondary
1013,29,management,married,tertiary
1014,46,blue-collar,single,tertiary
1015,31,technician,single,tertiary
1016,35,management,divorced,tertiary
1017,32,blue-collar,single,primary
1018,49,services,married,secondary
1019,41,admin,married,secondary
1020,49,admin,divorced,secondary
1021,28,admin,divorced,secondary
1022,43,management,single,tertiary
1023,43,management,divorced,tertiary
1024,43,blue-collar,married,primary
1025,37,unemployed,single,secondary
1026,35,blue-collar,single,secondary
1027,31,technician,single,tertiary
1028,43,blue-collar,single,secondary
1029,31,admin,married,secondary
1030,28,blue-collar,single,secondary
1031,32,blue-collar,married,secondary
1032,60,technician,married,primary
1033,26,blue-collar,single,secondary
1034,40,blue-collar,married,secondary
1035,33,blue-collar,divorced,primary
1036,32,management,single,tertiary
1037,35,blue-collar,married,primary
1038,33,management,divorced,secondary
1039,38,management,married,tertiary
1040,23,entrepreneur,single,primary
1041,60,blue-collar,married,primary
1042,48,management,married,tertiary
1043,45,entrepreneur,divorced,tertiary
1044,36,blue-collar,married,secondary
1045,52,management,married,unknown
1046,35,blue-collar,divorced,primary
1047,43,technician,married,secondary
1048,52,housemaid,married,secondary
1049,53,technician,divorced,primary
1050,48,blue-collar,divorced,primary
1051,41,blue-collar,single,primary
1052,39,management,divorced,tertiary
1053,59,retired,married,secondary
1054,41,blue-collar,married,secondary
1055,48,blue-collar,married,secondary
1056,40,admin,married,secondary
1057,48,blue-collar,married,secondary
1058,60,retired,married,primary
1059,40,technician,single,unknown
1060,57,technician,married,tertiary
1061,51,blue-collar,married,secondary
1062,41,blue-collar,divorced,secondary
1063,41,blue-collar,married,secondary
1064,52,blue-collar,divorced,primary
1065,59,blue-collar,married,primary
1066,44,blue-collar,married,unknown
1067,49,unknown,married,primary
1068,40,services,married,primary
1069,41,admin,married,primary
1070,44,technician,married,tertiary
1071,60,services,single,primary
1072,29,management,married,tertiary
1073,41,retired,divorced,primary
1074,41,blue-collar,married,primary
1075,42,technician,single,secondary
1076,36,services,single,unknown
1077,39,technician,married,tertiary
1078,31,self-employed,single,tertiary
1079,26,blue-collar,married,secondary
1080,31,blue-collar,married,secondary
1081,29,admin,single,secondary
1082,37,services,divorced,secondary
1083,33,blue-collar,single,secondary
1084,24,technician,single,secondary
1085,50,admin,divorced,secondary
1086,27,technician,single,tertiary
1087,54,management,single,tertiary
1088,30,technician,single,secondary
1089,34,blue-collar,married,primary
1090,37,management,single,secondary
1091,41,admin,single,secondary
1092,47,blue-collar,married,secondary
1093,31,admin,married,secondary
1094,31,blue-collar,married,secondary
1095,43,services,divorced,secondary
1096,37,management,divorced,tertiary
1097,30,technician,single,tertiary
1098,41,technician,married,secondary
1099,36,blue-collar,married,secondary
1100,35,blue-collar,divorced,secondary
1101,29,services,single,secondary
1102,35,blue-collar,married,primary
1103,31,blue-collar,married,secondary
1104,35,services,married,secondary
1105,34,technician,single,secondary
1106,31,admin,single,secondary
1107,44,technician,divorced,secondary
1108,36,blue-collar,married,primary
1109,35,blue-collar,married,unknown
1110,41,blue-collar,married,primary
1111,31,blue-collar,single,primary
1112,34,blue-collar,married,secondary
1113,32,technician,married,secondary
1114,36,management,married,tertiary
1115,30,blue-collar,single,secondary
1116,37,technician,single,secondary
1117,36,blue-collar,married,primary
1118,31,management,single,tertiary
1119,27,technician,married,secondary
1120,34,retired,married,primary
1121,30,technician,single,tertiary
1122,32,technician,single,tertiary
1123,37,technician,single,secondary
1124,32,blue-collar,married,secondary
1125,33,blue-collar,married,secondary
1126,35,blue-collar,married,primary
1127,35,self-employed,divorced,tertiary
1128,30,blue-collar,single,secondary
1129,45,blue-collar,divorced,primary
1130,45,admin,married,secondary
1131,33,blue-collar,married,secondary
1132,44,management,divorced,tertiary
1133,40,blue-collar,married,primary
1134,31,blue-collar,married,secondary
1135,30,technician,married,tertiary
1136,44,technician,divorced,secondary
1137,34,services,married,secondary
1138,37,blue-collar,married,secondary
1139,28,self-employed,single,tertiary
1140,32,admin,single,secondary
1141,37,blue-collar,divorced,secondary
1142,34,management,married,tertiary
1143,38,admin,divorced,secondary
1144,28,admin,single,secondary
