loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_status,has_default_history
9001,1001,mortgage,50000,8.85,active,no
9002,1003,mortgage,500000,9.7,active,no
9003,1004,mortgage,2000000,15.88,defaulted,no
9004,1006,mortgage,1000000,10.36,active,no
9005,1007,mortgage,1000000,16.44,active,no
9006,1008,mortgage,200000,13.94,active,no
9007,1009,mortgage,500000,12.05,active,no
9008,1010,mortgage,5000000,15.86,active,no
9009,1011,mortgage,1000000,14.86,paid,no
9010,1012,mortgage,200000,11.93,active,no
9011,1013,mortgage,200000,9.05,defaulted,no
9012,1014,mortgage,2000000,15.45,active,no
9013,1015,mortgage,200000,14.62,active,no
9014,1016,mortgage,50000,14.83,active,no
9015,1017,mortgage,5000000,14.46,active,no
9016,1018,mortgage,1000000,10.71,active,no
9017,1019,mortgage,1000000,15.37,active,no
9018,1020,mortgage,100000,8.52,paid,no
9019,1021,mortgage,50000,10.4,paid,no
9020,1022,mortgage,1000000,8.87,paid,no
9021,1023,mortgage,2000000,9.38,paid,no
9022,1024,mortgage,1000000,12.76,active,no
9023,1025,mortgage,100000,8.8,active,no
9024,1026,mortgage,500000,9.95,paid,no
9025,1027,mortgage,500000,10.36,active,no
9026,1028,mortgage,50000,13.74,active,no
9027,1029,mortgage,200000,12.25,paid,no
9028,1030,mortgage,100000,12.17,active,no
9029,1031,mortgage,100000,14.65,active,yes
9030,1032,mortgage,1000000,12.15,paid,no
9031,1033,mortgage,2000000,11.29,paid,no
9032,1034,mortgage,1000000,16.2,active,no
9033,1035,mortgage,2000000,8.57,active,no
9034,1038,mortgage,100000,10.94,active,no
9035,1039,mortgage,200000,13.38,active,no
9036,1040,mortgage,500000,14.76,active,no
9037,1041,mortgage,50000,15.03,active,no
9038,1042,mortgage,5000000,8.87,paid,no
9039,1043,mortgage,2000000,14.17,active,no
9040,1044,mortgage,500000,14.26,defaulted,no
9041,1045,mortgage,50000,10.21,active,no
9042,1046,mortgage,200000,9.4,defaulted,no
9043,1047,mortgage,100000,14.5,active,no
9044,1048,mortgage,200000,10.5,active,no
9045,1049,mortgage,2000000,8.51,active,no
9046,1050,mortgage,100000,10.29,active,no
9047,1051,mortgage,1000000,8.75,paid,no
9048,1052,mortgage,50000,10.49,paid,no
9049,1053,mortgage,1000000,11.18,paid,no
9050,1054,mortgage,100000,10.67,active,no
9051,1055,mortgage,5000000,15.86,active,no
9052,1056,mortgage,50000,10.36,active,no
9053,1057,mortgage,50000,12.24,active,no
9054,1058,mortgage,1000000,16.16,paid,no
9055,1059,mortgage,50000,15.53,paid,no
9056,1061,mortgage,100000,10.97,active,no
9057,1062,mortgage,5000000,11.11,paid,no
